city,temperature,windspeed,date-time
avdsfs,-1.1,15.6,2026-03-10T15:30
avdsfs,-1.1,15.6,2026-03-10T15:30
samarkand,8.4,8.8,2026-03-16T15:15
samarkand,18.4,5.1,2026-04-10T10:45
samarkand,14.0,11.4,2026-04-17T12:15
samarkand,23.3,8.7,2026-04-20T12:00
samarkand,19.2,6.1,2026-04-21T11:00
samarkand,19.2,6.1,2026-04-21T11:00
samarkand,19.2,6.1,2026-04-21T11:00
samarkand,19.2,6.1,2026-04-21T11:00
samarkand,19.2,6.1,2026-04-21T11:00
samarkand,19.2,6.1,2026-04-21T11:00
samarkand,19.2,6.1,2026-04-21T11:00
samarkand,25.3,5.1,2026-04-24T08:30
samarkand,25.5,5.0,2026-04-24T08:45
samarkand,17.7,8.9,2026-04-25T16:45
samarkand,21.1,12.0,2026-04-27T11:30
samarkand,16.0,8.1,2026-04-30T19:15
samarkand,14.4,2.9,2026-05-01T18:15
samarkand,14.5,2.1,2026-05-01T18:30
